Modèle,État,Année-Modèle,Marque,Origine,Kilométrage,Première main,Nombre de portes,carburant,Ville,boite,puissance,price
Kangoo,6,2008,Renault,WW au Maroc,17499.5,Non,5,Diesel,El Jadida,Manuelle,,63000.0
Clio,6,2019,Renault,,62499.5,,,Diesel,Meknès,nan,,115000.0
208,Excellent,2019,Peugeot,WW au Maroc,67499.5,,5,Diesel,El Jadida,Manuelle,,123000.0
Astra,6,2021,Opel,WW au Maroc,32499.5,Oui,5,,Casablanca,Automatique,6 CV,210000.0
Focus,Très bon,2017,Ford,WW au Maroc,114999.5,Oui,5,Diesel,Casablanca,,6 CV,135000.0
Clio,Excellent,2019,Renault,WW au Maroc,104999.5,,5,Diesel,Marrakech,,6 CV,125000.0
Symbol,Excellent,2012,Renault,WW au Maroc,194999.5,Non,,,Mohammedia,Manuelle,7 CV,59000.0
Ducato,Très bon,2019,Fiat,WW au Maroc,92499.5,Oui,5,Diesel,Fès,Manuelle,,170000.0
C4,6,2008,Citroen,WW au Maroc,274999.5,Non,5,,Rabat,Manuelle,6 CV,73000.0
S 2000,,2010,Honda,WW au Maroc,114999.5,Oui,,Essence,Meknassa Acharqia,,5 CV,52000.0
Touareg,Bon,2005,Volkswagen,WW au Maroc,324999.5,Non,5,Diesel,Casablanca,Automatique,,69000.0
sandero_stepway,Très bon,2017,Dacia,WW au Maroc,87499.5,,5,Diesel,Bouznika,Manuelle,,112500.0
Berlingo,,2005,Citroen,,37499.5,,,Diesel,Tiznit,,7 CV,47000.0
Accent,Bon,2020,Hyundai,WW au Maroc,104999.5,Non,5,,Rabat,Manuelle,6 CV,133000.0
A4,Très bon,2015,Audi,WW au Maroc,184999.5,Non,5,,Fès,Automatique,8 CV,174000.0
Clio,Très bon,2019,Renault,WW au Maroc,72499.5,,5,Diesel,Tétouan,,6 CV,125000.0
Mito,Très bon,2009,Alfa Romeo,WW au Maroc,154999.5,Non,3,Essence,Berrechid,,8 CV,62000.0
RS4,Excellent,2018,Audi,Importée neuve,47499.5,Oui,,Essence,Casablanca,Automatique,,850000.0
306,Très bon,2000,Peugeot,WW au Maroc,424999.5,,5,Diesel,Temara,,7 CV,45000.0
Clio,Excellent,2018,Renault,Importée neuve,87499.5,Non,5,Diesel,Rabat,Automatique,,130000.0
Corolla,Très bon,2001,Toyota,WW au Maroc,274999.5,Non,5,Diesel,Taroudant,,8 CV,44000.0
Clio,Très bon,2017,Renault,WW au Maroc,104999.5,Non,5,,Oujda,Manuelle,6 CV,115000.0
Ducato,Très bon,2019,Fiat,WW au Maroc,92499.5,Oui,5,Diesel,Fès,Manuelle,,170000.0
206,,2008,Peugeot,WW au Maroc,124999.5,,5,Essence,Béni Mellal,Manuelle,,47000.0
Grand Cherokee,Excellent,2018,Jeep,WW au Maroc,82499.5,Non,5,Diesel,Agadir,,11 CV,230000.0
Astra,6,2014,Opel,WW au Maroc,144999.5,Non,5,Diesel,El Jadida,,7 CV,109000.0
Accord,,2013,Honda,WW au Maroc,154999.5,Non,5,Diesel,Mohammedia,,9 CV,115000.0
Touran,Très bon,2005,Volkswagen,Dédouanée,274999.5,Non,5,,Tanger,Manuelle,8 CV,93000.0
Palio,Bon,1999,Fiat,WW au Maroc,184999.5,Non,5,Essence,Mohammedia,Manuelle,,29000.0
19,Très bon,1994,Renault,Dédouanée,274999.5,Non,5,Diesel,Casablanca,,7 CV,41000.0
Sportage,6,2005,Kia,WW au Maroc,37499.5,,5,Diesel,Dakhla,Manuelle,,60000.0
Accent,Correct,2005,Hyundai,WW au Maroc,374999.5,Oui,5,Diesel,Safi,,6 CV,37000.0
C3,Très bon,2018,Citroen,WW au Maroc,52499.5,,5,Diesel,Tétouan,,6 CV,125000.0
Focus,,2012,Ford,,184999.5,,,nan,Meknès,,6 CV,109000.0
CR-V,Excellent,2004,Honda,,7499.5,,5,,Laâyoune,Manuelle,11 CV,43000.0
Clio,Excellent,2018,Renault,WW au Maroc,144999.5,Oui,5,Diesel,Rabat,,6 CV,113000.0
301,Très bon,2018,Peugeot,WW au Maroc,124999.5,Non,5,,Meknès,Manuelle,7 CV,115000.0
GOLF 7,Très bon,2019,Volkswagen,Importée neuve,72499.5,Oui,5,Diesel,Tétouan,Automatique,,260000.0
GOLF 7,Très bon,2014,Volkswagen,Dédouanée,124999.5,Non,5,Diesel,Fès,Manuelle,,167000.0
GIULIA,6,2017,Alfa Romeo,WW au Maroc,87499.5,Oui,5,Diesel,Casablanca,Automatique,,243000.0
Avensis,Très bon,2005,Toyota,WW au Maroc,194999.5,,,Diesel,Marrakech,,8 CV,68000.0
Sandero,Bon,2011,Dacia,WW au Maroc,224999.5,Non,5,Diesel,Berrechid,,6 CV,58000.0
Octavia,,2020,Skoda,,97499.5,,,Diesel,Casablanca,nan,,185000.0
TIPO,Excellent,2019,Fiat,WW au Maroc,72499.5,Oui,5,Diesel,Casablanca,Manuelle,,123000.0
Classe CLA,Excellent,2016,Mercedes-Benz,WW au Maroc,154999.5,Non,5,Diesel,Casablanca,Automatique,,280000.0
Logan,Bon,2009,Dacia,WW au Maroc,2499.5,Non,,nan,Fès,,6 CV,52000.0
250,Excellent,2011,Mercedes-Benz,Importée neuve,224999.5,Non,5,,Agadir,Automatique,9 CV,150000.0
Punto,,1995,Fiat,Dédouanée,374999.5,,,Diesel,Béni Mellal,nan,,34000.0
EXPRESS,Bon,1996,Renault,WW au Maroc,7499.5,Non,3,,Tamesna,Manuelle,7 CV,40000.0
220,Très bon,2004,Mercedes-Benz,Dédouanée,224999.5,Non,5,Diesel,Rabat,Manuelle,,82000.0
Autres,Très bon,2014,Autres,,124999.5,,5,,Meknès,Manuelle,6 CV,73000.0
PASSAT CC,Excellent,2016,Volkswagen,WW au Maroc,154999.5,Oui,5,Diesel,Agadir,,8 CV,173000.0
Fiesta,Très bon,2017,Ford,WW au Maroc,164999.5,Non,5,,Casablanca,Manuelle,6 CV,98000.0
Leon,,2016,Seat,,124999.5,,,Diesel,Meknès,nan,,185000.0
C2,Excellent,2004,Citroen,Dédouanée,184999.5,,,Diesel,Fès,Manuelle,,34000.0
190,Très bon,1992,Mercedes-Benz,Dédouanée,324999.5,Non,5,,Nador,Manuelle,8 CV,57000.0
Duster,,2018,Dacia,,87499.5,Oui,,nan,Casablanca,,6 CV,160000.0
310,Bon,1994,Mercedes-Benz,Dédouanée,164999.5,Non,5,Diesel,Khénifra,Manuelle,,145000.0
Classe CLS,Très bon,2011,Mercedes-Benz,Dédouanée,174999.5,Non,5,,Fès,Automatique,11 CV,200000.0
Serie 4 coupé,Très bon,2017,BMW,WW au Maroc,124999.5,Oui,3,Diesel,Fès,Automatique,,320000.0
Fiesta,Très bon,2018,Ford,WW au Maroc,184999.5,Non,5,,Casablanca,Manuelle,6 CV,109000.0
cooper,Très bon,2002,mini,WW au Maroc,174999.5,Oui,5,Essence,Casablanca,Manuelle,,48000.0
Optra,Très bon,2004,Chevrolet,WW au Maroc,174999.5,,5,,Meknès,Manuelle,9 CV,35000.0
Caddy,Très bon,2012,Volkswagen,,2499.5,,,Diesel,Fquih Ben Saleh,,6 CV,109000.0
Kuga,Excellent,2012,Ford,WW au Maroc,224999.5,,5,Diesel,Settat,,8 CV,125000.0
Touareg,Très bon,2009,Volkswagen,,224999.5,,5,Diesel,El Jadida,,10 CV,85000.0
A3,,2016,Audi,WW au Maroc,164999.5,Non,5,Diesel,Rabat,Automatique,,165000.0
19,Bon,1993,Renault,Dédouanée,22499.5,,5,Diesel,Sidi Slimane,Manuelle,,45000.0
Tiguan,Excellent,2018,Volkswagen,WW au Maroc,32499.5,Oui,5,Diesel,Casablanca,Manuelle,,285000.0
Polo,Très bon,2014,Volkswagen,Dédouanée,134999.5,,5,,Tétouan,Manuelle,6 CV,128000.0
Dokker,Très bon,2017,Dacia,WW au Maroc,144999.5,Non,5,,Casablanca,Manuelle,6 CV,105000.0
FIORINO,Très bon,2021,Fiat,WW au Maroc,2499.5,Non,5,Diesel,Casablanca,,5 CV,110000.0
Range Rover Evoque,Excellent,2014,Land Rover,Dédouanée,164999.5,,5,,Fès,Automatique,8 CV,240000.0
Avensis,Très bon,2013,Toyota,WW au Maroc,224999.5,Oui,5,Diesel,Marrakech,Manuelle,,95000.0
190,Bon,1993,Mercedes-Benz,Dédouanée,474999.5,Non,5,Diesel,Casablanca,,10 CV,65000.0
Classe C,Excellent,2019,Mercedes-Benz,WW au Maroc,82499.5,Non,5,Diesel,Casablanca,Automatique,,319000.0
Sandero,Excellent,2011,Dacia,WW au Maroc,32499.5,,5,Diesel,Fès,,6 CV,55000.0
Focus,Excellent,2015,Ford,WW au Maroc,104999.5,Oui,5,,Casablanca,Automatique,6 CV,128000.0
500,Très bon,2017,Fiat,WW au Maroc,57499.5,,3,Diesel,Casablanca,,5 CV,95000.0
Clio,,2018,Renault,,104999.5,,,Diesel,Tétouan,,6 CV,130000.0
Focus,Très bon,2012,Ford,WW au Maroc,194999.5,Oui,5,Diesel,Rabat,,7 CV,100000.0
Uno,Bon,1997,Fiat,WW au Maroc,82499.5,Non,5,,Agadir,Manuelle,6 CV,28000.0
301,,2017,Peugeot,,144999.5,,,Essence,Agadir,,7 CV,76000.0
Classe C,Bon,1993,Mercedes-Benz,Dédouanée,22499.5,,5,Essence,Tanger,,10 CV,35000.0
Logan,6,2019,Dacia,WW au Maroc,114999.5,Oui,5,,Demnate,Manuelle,6 CV,109000.0
Kuga,Très bon,2012,Ford,WW au Maroc,174999.5,,5,Diesel,Tétouan,Manuelle,,125000.0
Master,Très bon,2017,Renault,,224999.5,,,,Fès,Manuelle,9 CV,152000.0
Doblo,,2019,Fiat,,104999.5,,,,Fès,Manuelle,5 CV,82000.0
Duster,,2019,Dacia,,104999.5,,,,Fès,Manuelle,6 CV,154000.0
Sandero,Excellent,2019,Dacia,WW au Maroc,17499.5,Oui,5,Diesel,Azemmour,,6 CV,130000.0
megane_4,Excellent,2022,Renault,WW au Maroc,37499.5,Oui,5,,Casablanca,Manuelle,6 CV,205000.0
Fusion,Très bon,2018,Ford,WW au Maroc,72499.5,,5,Diesel,Salé,,8 CV,168000.0
500,Très bon,2015,Fiat,WW au Maroc,52499.5,Oui,3,Essence,Casablanca,,8 CV,88000.0
206,Bon,2005,Peugeot,WW au Maroc,22499.5,Non,5,Diesel,Marrakech,,6 CV,45000.0
407,Très bon,2006,Peugeot,WW au Maroc,134999.5,,5,Essence,Casablanca,Manuelle,,45990.0
Clio,Très bon,2018,Renault,WW au Maroc,77499.5,Oui,5,Diesel,Fès,,6 CV,105000.0
Yaris,Excellent,2021,Toyota,WW au Maroc,17499.5,Oui,5,Hybride,Fès,,5 CV,152000.0
Accent,Excellent,2017,Hyundai,WW au Maroc,134999.5,,5,,Tiznit,Manuelle,6 CV,120000.0
Touran,6,2008,Volkswagen,Dédouanée,324999.5,Non,5,Diesel,Marrakech,Manuelle,,86000.0
Partner,Très bon,2006,Peugeot,WW au Maroc,274999.5,,5,,Marrakech,Manuelle,6 CV,47000.0
Tiguan,6,2019,Volkswagen,WW au Maroc,124999.5,Oui,5,,Tanger,Automatique,8 CV,305000.0
Clio,Très bon,2015,Renault,WW au Maroc,154999.5,Non,5,Diesel,Mohammedia,,6 CV,96000.0
Clio,Très bon,1992,Renault,Dédouanée,224999.5,Oui,5,,Tanger,Manuelle,8 CV,27000.0
Clio,Très bon,2019,Renault,WW au Maroc,82499.5,Non,5,Diesel,Casablanca,,6 CV,108000.0
C3,6,2020,Citroen,WW au Maroc,32499.5,Non,5,Diesel,El Jadida,,6 CV,153000.0
Clio,Bon,2018,Renault,WW au Maroc,12499.5,Non,5,,Casablanca,Automatique,6 CV,115000.0
Partner,Excellent,2020,Peugeot,WW au Maroc,37499.5,Oui,5,,Kénitra,Manuelle,5 CV,180000.0
Clio,Très bon,2018,Renault,WW au Maroc,92499.5,Oui,5,,Kénitra,Manuelle,6 CV,102000.0
Clio,Excellent,2018,Renault,WW au Maroc,92499.5,Non,5,Diesel,Casablanca,,6 CV,145000.0
Fiesta,Excellent,2018,Ford,WW au Maroc,104999.5,Non,5,Diesel,Marrakech,Manuelle,,110000.0
Juke,Excellent,2012,Nissan,,124999.5,Oui,5,Essence,Casablanca,Automatique,,118000.0
Picanto,Excellent,2010,Kia,WW au Maroc,92499.5,,5,Essence,Tétouan,Manuelle,,59000.0
208,Très bon,2018,Peugeot,WW au Maroc,114999.5,,5,,Tétouan,Manuelle,6 CV,112000.0
Duster,Excellent,2018,Dacia,WW au Maroc,42499.5,Oui,5,Diesel,Salé,Automatique,,150000.0
Qashqai,6,2021,Nissan,,67499.5,Oui,,Diesel,Salé,nan,,245000.0
Sandero,Excellent,2022,Dacia,WW au Maroc,12499.5,Oui,5,Diesel,Marrakech,,8 CV,145000.0
208,Excellent,2018,Peugeot,WW au Maroc,67499.5,Non,5,,Casablanca,Manuelle,6 CV,125000.0
Juke,Très bon,2016,Nissan,,124999.5,,5,,Casablanca,Manuelle,6 CV,127000.0
Tiguan,Très bon,2009,Volkswagen,WW au Maroc,224999.5,Non,5,Diesel,Tanger,,8 CV,157000.0
Duster,Très bon,2018,Dacia,WW au Maroc,134999.5,Non,5,,Tanger,Automatique,6 CV,158000.0
Serie 5,Excellent,2011,BMW,WW au Maroc,274999.5,Non,5,Diesel,Rabat,Automatique,,138000.0
Duster,Très bon,2010,Dacia,WW au Maroc,164999.5,Non,5,Diesel,Tanger,Manuelle,,125000.0
GOLF 7,Très bon,2017,Volkswagen,Importée neuve,104999.5,Oui,5,Diesel,Agadir,Automatique,,195000.0
Tiguan,Très bon,2012,Volkswagen,WW au Maroc,194999.5,Non,5,Diesel,Agadir,,8 CV,155000.0
C3,Très bon,2019,Citroen,WW au Maroc,124999.5,,5,Diesel,Agadir,Manuelle,,120000.0
FIORINO,Très bon,2019,Fiat,WW au Maroc,124999.5,Oui,5,,Agadir,Manuelle,5 CV,95000.0
serie_3_cabriolet,Bon,2020,BMW,Dédouanée,324999.5,Non,5,Diesel,Oujda,Automatique,,210000.0
Giulietta,Excellent,2013,Alfa Romeo,WW au Maroc,224999.5,Non,5,Diesel,Meknès,Manuelle,,115000.0
Logan,Très bon,2020,Dacia,WW au Maroc,47499.5,Oui,5,,Sidi Bennour,Manuelle,6 CV,115000.0
Uno,,1997,Fiat,,67499.5,,,nan,Agadir,,6 CV,28000.0
land_cruiser_prado,,2004,Toyota,,424999.5,,,Diesel,Marrakech,,12 CV,80000.0
Megane,,2002,Renault,,274999.5,,,Diesel,Béni Mellal,nan,,47000.0
Focus,Très bon,2014,Ford,WW au Maroc,224999.5,Non,5,Diesel,Casablanca,,6 CV,113000.0
i 10,,2009,Hyundai,WW au Maroc,194999.5,,5,Essence,El Hajeb,Manuelle,,54000.0
220,6,2022,Mercedes-Benz,Dédouanée,22499.5,Oui,5,,Casablanca,Automatique,8 CV,820000.0
Koleos,Très bon,2018,Renault,WW au Maroc,87499.5,Non,5,,Casablanca,Automatique,8 CV,200000.0
Serie 5,Excellent,2015,BMW,WW au Maroc,124999.5,Non,5,,Rabat,Automatique,8 CV,240000.0
Qashqai,Excellent,2016,Nissan,WW au Maroc,134999.5,Non,5,Diesel,Marrakech,,6 CV,173000.0
Altea,Excellent,2005,Seat,WW au Maroc,154999.5,Non,5,Diesel,Casablanca,Automatique,,80000.0
Caddy,Très bon,2022,Volkswagen,WW au Maroc,47499.5,Non,5,,Tanger,Manuelle,8 CV,265000.0
Passat,Très bon,2008,Volkswagen,WW au Maroc,174999.5,Non,5,Essence,Casablanca,,11 CV,670000.0
Dokker,Très bon,2020,Dacia,WW au Maroc,87499.5,Oui,5,Diesel,Casablanca,Manuelle,,129000.0
Touareg,Très bon,2012,Volkswagen,WW au Maroc,274999.5,Non,5,Diesel,Casablanca,,12 CV,129000.0
Megane 3,Très bon,2010,Renault,WW au Maroc,224999.5,Non,5,Diesel,El Jadida,,7 CV,88000.0
Cerato,Très bon,2007,Kia,WW au Maroc,184999.5,,5,,Casablanca,Manuelle,8 CV,49000.0
Classe B,6,2014,Mercedes-Benz,WW au Maroc,104999.5,Oui,5,Diesel,Rabat,Manuelle,,148000.0
Tiguan,,2019,Volkswagen,,224999.5,,,Diesel,Kénitra,nan,,340000.0
Partner,Excellent,2006,Peugeot,WW au Maroc,224999.5,,5,Diesel,Salé,,6 CV,46000.0
206+,Excellent,2011,Peugeot,WW au Maroc,104999.5,Oui,5,,Oujda,Manuelle,6 CV,68000.0
Classe CLA,Excellent,2020,Mercedes-Benz,Dédouanée,124999.5,Oui,5,Diesel,Casablanca,Automatique,,550000.0
Clio,Excellent,2017,Renault,WW au Maroc,12499.5,,5,Diesel,Casablanca,,6 CV,127000.0
Master,Excellent,2018,Renault,WW au Maroc,92499.5,Oui,5,Diesel,Casablanca,,8 CV,173000.0
CC,Très bon,2010,Volkswagen,WW au Maroc,194999.5,,5,Diesel,Agadir,Automatique,,125000.0
Clio,Très bon,2012,Renault,WW au Maroc,124999.5,Oui,5,Essence,Fès,Manuelle,,59000.0
Clio,Très bon,2016,Renault,WW au Maroc,92499.5,,5,Diesel,Marrakech,,6 CV,105000.0
C-Max,Bon,2019,Ford,WW au Maroc,47499.5,,5,Diesel,Marrakech,,6 CV,147000.0
Astra,Très bon,2012,Opel,WW au Maroc,224999.5,Non,5,,Casablanca,Manuelle,7 CV,95000.0
Transit,Excellent,2016,Ford,WW au Maroc,274999.5,Oui,5,Diesel,Casablanca,,7 CV,180000.0
Logan,Très bon,2016,Dacia,WW au Maroc,154999.5,Non,5,Diesel,Casablanca,Manuelle,,88000.0
Grand i10,Très bon,2016,Hyundai,WW au Maroc,87499.5,Non,5,Essence,Casablanca,Manuelle,,85000.0
Fiesta,,2009,Ford,,174999.5,,,nan,El Jadida,,6 CV,48000.0
Logan,Excellent,2022,Dacia,Importée neuve,17499.5,Oui,5,Essence,Tanger,,6 CV,148000.0
Classe E,Excellent,2016,Mercedes-Benz,WW au Maroc,114999.5,Oui,5,,Tanger,Automatique,8 CV,345000.0
GOLF 8,Excellent,2021,Volkswagen,Importée neuve,27499.5,Non,5,,Tanger,Automatique,8 CV,465000.0
307,,2007,Peugeot,WW au Maroc,2499.5,Non,5,Diesel,Rabat,,6 CV,68000.0
Corsa,Excellent,2021,Opel,WW au Maroc,52499.5,Oui,5,Diesel,Tanger,,6 CV,165000.0
Tucson,Excellent,2019,Hyundai,WW au Maroc,67499.5,Oui,5,,Tanger,Automatique,8 CV,285000.0
Focus,Excellent,2013,Ford,,174999.5,,,Diesel,Salé,nan,,125000.0
308,Excellent,2017,Peugeot,WW au Maroc,134999.5,,5,Diesel,Fès,Manuelle,,132000.0
208,Excellent,2021,Peugeot,WW au Maroc,72499.5,Oui,5,,Tanger,Manuelle,7 CV,158000.0
Master,Excellent,2022,Renault,WW au Maroc,12499.5,Oui,3,Diesel,Tanger,,7 CV,245000.0
XF,Très bon,2012,Jaguar,WW au Maroc,144999.5,Non,5,,Fès,Automatique,9 CV,150000.0
220,Excellent,2019,Mercedes-Benz,Pas encore dédouanée,134999.5,,5,Diesel,Casablanca,,8 CV,310000.0
range_rover_vogue,Très bon,2013,Land Rover,Importée neuve,144999.5,Oui,5,Diesel,Casablanca,Automatique,,310000.0
205,Excellent,1985,Peugeot,Dédouanée,224999.5,,5,Diesel,Salé,,6 CV,28000.0
Clio,Très bon,2018,Renault,WW au Maroc,82499.5,Oui,5,Diesel,Fès,,6 CV,119000.0
Serie 3,Très bon,1999,BMW,Dédouanée,224999.5,Non,5,,Casablanca,Manuelle,11 CV,39000.0
208,Très bon,2018,Peugeot,WW au Maroc,97499.5,Non,5,,Rabat,Manuelle,6 CV,105000.0
C4,Très bon,2016,Citroen,WW au Maroc,92499.5,Non,5,,Casablanca,Manuelle,6 CV,94000.0
X-Type,Très bon,2001,Jaguar,WW au Maroc,274999.5,Non,5,Essence,Rabat,Manuelle,,20000.0
220,Très bon,2009,Mercedes-Benz,Importée neuve,324999.5,Non,5,Diesel,Casablanca,,8 CV,124000.0
Focus,Excellent,2021,Ford,WW au Maroc,42499.5,Non,5,Diesel,Tanger,,6 CV,229000.0
X1,Excellent,2020,BMW,WW au Maroc,27499.5,Non,5,Diesel,Casablanca,Automatique,,320000.0
Duster,Excellent,2018,Dacia,WW au Maroc,114999.5,,5,,Fès,Automatique,6 CV,148000.0
Passat,Excellent,2009,Volkswagen,Dédouanée,274999.5,,5,,Tétouan,Manuelle,8 CV,110000.0
Clio,Excellent,2019,Renault,Dédouanée,52499.5,,,Diesel,Casablanca,nan,,135000.0
Albea,Très bon,2009,Fiat,WW au Maroc,184999.5,Non,5,Diesel,Casablanca,Manuelle,,55000.0
Passat,Très bon,2012,Volkswagen,WW au Maroc,194999.5,Non,5,Diesel,Agadir,Manuelle,,117000.0
X5,Très bon,2008,BMW,,274999.5,Non,5,Diesel,Casablanca,Automatique,,88000.0
Laguna,Bon,2004,Renault,Dédouanée,224999.5,,,,Nador,Manuelle,7 CV,63000.0
Clio,Excellent,2021,Renault,WW au Maroc,82499.5,Oui,5,nan,nan,nan,nan,
C5,Excellent,2014,Citroen,WW au Maroc,144999.5,Non,5,Diesel,Fès,Manuelle,,140000.0
190,,1987,Mercedes-Benz,,324999.5,,,Diesel,Casablanca,,8 CV,114000.0
XC60,,2012,Volvo,,174999.5,,,,Rabat,Manuelle,10 CV,25000.0
Tiguan,Bon,2016,Volkswagen,WW au Maroc,124999.5,Non,5,nan,Marrakech,,8 CV,135000.0
Tucson,Excellent,2019,Hyundai,WW au Maroc,97499.5,Oui,5,Diesel,Fquih Ben Saleh,,8 CV,158000.0
Range Rover Evoque,,2012,Land Rover,,144999.5,,,Diesel,Tanger,,6 CV,274000.0
308,,2019,Peugeot,,42499.5,,,nan,Rabat,,9 CV,192000.0
cooper,,2016,mini,,82499.5,,,nan,Casablanca,,6 CV,155000.0
Classe C,,2015,Mercedes-Benz,,114999.5,,,nan,Casablanca,,11 CV,240000.0
Sportage,,2020,Kia,,67499.5,,,nan,Casablanca,,9 CV,319000.0
Classe C,,2016,Mercedes-Benz,,144999.5,,,nan,Casablanca,,8 CV,239000.0
Sportage,,2021,Kia,,17499.5,,,nan,Casablanca,,9 CV,325000.0
Cherokee,Excellent,2019,Jeep,WW au Maroc,134999.5,Non,5,Diesel,Rabat,nan,,240000.0
Touareg,,2019,Volkswagen,,92499.5,,,Diesel,Marrakech,Automatique,,210000.0
Classe E,,2015,Mercedes-Benz,,184999.5,,,Diesel,Casablanca,nan,,425000.0
Grand Cherokee,,2019,Jeep,,104999.5,,,Diesel,Rabat,nan,,197000.0
Classe C,,2018,Mercedes-Benz,,124999.5,,,nan,Rabat,,12 CV,260000.0
Clio,,2020,Renault,,32499.5,,,nan,Marrakech,,9 CV,410000.0
Touareg,Très bon,2017,Volkswagen,WW au Maroc,224999.5,Oui,5,nan,Casablanca,,6 CV,185000.0
Ducato,,2021,Fiat,,77499.5,,,Diesel,Agadir,,12 CV,170000.0
MOKKA,,2018,Opel,,37499.5,,,nan,Marrakech,,9 CV,185000.0
Serie 3,,2014,BMW,,104999.5,,,Diesel,Casablanca,nan,,190000.0
Classe M,,2013,Mercedes-Benz,,72499.5,,,nan,Casablanca,,8 CV,210000.0
Leon,,2018,Seat,,42499.5,,,nan,Rabat,,12 CV,275000.0
Q5,,2012,Audi,,134999.5,,,Diesel,Casablanca,nan,,160000.0
Cruze,,2014,Chevrolet,,124999.5,,,nan,Casablanca,,8 CV,180000.0
Insignia,,2011,Opel,,184999.5,,,nan,Casablanca,,8 CV,103000.0
Ateca,,2018,Seat,,97499.5,,,nan,Rabat,,8 CV,109000.0
A6,,2018,Audi,,97499.5,,,nan,Agadir,,8 CV,225000.0
XF,,2009,Jaguar,,194999.5,,,nan,Casablanca,,8 CV,305000.0
Kuga,,2015,Ford,,124999.5,,,Diesel,Casablanca,nan,,115000.0
Master,Bon,2013,Renault,WW au Maroc,164999.5,Oui,5,nan,Casablanca,,8 CV,165000.0
Golf,,2016,Volkswagen,,104999.5,,,,Fès,Manuelle,9 CV,145000.0
Range Rover,,2014,Land Rover,,154999.5,,,nan,Casablanca,,6 CV,154000.0
XE,,2016,Jaguar,,144999.5,,,Diesel,Casablanca,nan,,370000.0
Fiesta,Très bon,2015,Ford,WW au Maroc,164999.5,Non,5,Diesel,Casablanca,nan,,230000.0
Legend,Excellent,2008,Honda,WW au Maroc,154999.5,Non,5,Diesel,Rabat,Manuelle,,90000.0
Range Rover Evoque,6,2016,Land Rover,Importée neuve,124999.5,Oui,5,Essence,Fès,Automatique,,68000.0
Cayenne,Très bon,2012,Porsche,WW au Maroc,224999.5,Non,5,Diesel,Marrakech,,8 CV,340000.0
Clio,Très bon,2021,Renault,WW au Maroc,2499.5,Non,5,Diesel,Agadir,Automatique,,240000.0
Master,Bon,2013,Renault,WW au Maroc,174999.5,Oui,5,Diesel,Casablanca,,6 CV,168000.0
GOLF 4,Très bon,2002,Volkswagen,Dédouanée,274999.5,Non,5,Diesel,Fès,Manuelle,,135000.0
sq5,Excellent,2015,Audi,Importée neuve,184999.5,Non,5,,Casablanca,Manuelle,8 CV,58000.0
Doblo,Très bon,2017,Fiat,WW au Maroc,114999.5,Oui,5,Diesel,Tétouan,Automatique,,275000.0
407,Très bon,2006,Peugeot,WW au Maroc,27499.5,Non,5,Diesel,Casablanca,,6 CV,89000.0
Q7,6,2022,Audi,WW au Maroc,2499.5,Oui,5,,Agadir,Manuelle,11 CV,28000.0
6,Très bon,2018,Mazda,WW au Maroc,97499.5,Oui,5,Diesel,Casablanca,,12 CV,725000.0
Passat,Très bon,2017,Volkswagen,WW au Maroc,154999.5,Oui,5,Diesel,Casablanca,,9 CV,188000.0
Classe C,6,2017,Mercedes-Benz,Dédouanée,124999.5,Non,5,Diesel,Casablanca,,8 CV,215000.0
X5,Excellent,2018,BMW,WW au Maroc,144999.5,Oui,5,Diesel,Tanger,Automatique,,355000.0
19,,1995,Renault,,2499.5,,5,,Casablanca,Automatique,8 CV,360000.0
Transit,Très bon,2018,Ford,WW au Maroc,224999.5,Oui,5,Diesel,Casablanca,nan,,50000.0
250,Très bon,1995,Mercedes-Benz,Dédouanée,2499.5,Non,5,Diesel,Casablanca,Manuelle,,168000.0
6,Très bon,2017,Mazda,WW au Maroc,104999.5,Oui,5,Diesel,Nador,Automatique,,56000.0
Doblo,Très bon,2018,Fiat,WW au Maroc,224999.5,Oui,5,Diesel,Casablanca,,9 CV,178000.0
sandero_stepway,Très bon,2021,Dacia,WW au Maroc,47499.5,,5,Diesel,Casablanca,,6 CV,115000.0
Logan,,2017,Dacia,,154999.5,,,Diesel,Kénitra,,6 CV,131000.0
fullback,Très bon,2017,Fiat,WW au Maroc,124999.5,Oui,3,nan,Ben Guerir,,6 CV,88000.0
Kangoo,Bon,2000,Renault,WW au Maroc,2499.5,,5,Diesel,Casablanca,Manuelle,,128000.0
208,Très bon,2019,Peugeot,WW au Maroc,82499.5,Oui,5,,Rabat,Manuelle,6 CV,52000.0
Navara,Très bon,2017,Nissan,WW au Maroc,67499.5,Oui,5,Diesel,El Jadida,Manuelle,,96000.0
205,Correct,1991,Peugeot,,174999.5,,,Diesel,Settat,Manuelle,,220000.0
3008,Bon,2012,Peugeot,WW au Maroc,184999.5,,,Diesel,Skhirat,nan,,28000.0
Duster,Très bon,2017,Dacia,,57499.5,,5,,Azrou,Manuelle,6 CV,110000.0
Leon,Excellent,2018,Seat,WW au Maroc,47499.5,Non,5,Diesel,Tétouan,Manuelle,,137000.0
X1,,2012,BMW,WW au Maroc,224999.5,Non,5,,Fès,Manuelle,8 CV,210000.0
Kangoo,Bon,2018,Renault,WW au Maroc,97499.5,,5,Diesel,Casablanca,Automatique,,155000.0
